Model,Truth Score,Accuracy,Hallucination Rate,ROC-AUC,F1,PR-AUC,Refusal Rate,Avg Length,Severity
mistral,0.056747459893940685,0.9475,0.3875,1.0,0.9552238805970149,1.0,0.0075,44.80625,-0.056747459893940685
phi3,-0.09384921695061166,0.94625,0.63875,1.0,0.9307568438003221,1.0,0.0025,56.9225,0.09384921695061166
qwen,-0.17324310182264527,0.94,0.735,1.0,0.8983050847457628,1.0,0.00375,61.4,0.17324310182264527
tinyllama,-0.17090071016107686,0.915,0.745,1.0,0.8571428571428571,1.0,0.0175,40.89875,0.17090071016107686
gemma,-0.1277961504603718,0.91375,0.52,1.0,0.9012875536480687,1.0,0.055,42.4125,0.1277961504603718
llama3,0.062425063685450366,0.90875,0.34625,1.0,0.9249743062692704,0.9999999999999999,0.55375,36.13625,-0.062425063685450366
